"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
-1.21561	0.47519	-1.21561	1.82867	1.21561	1.82867
-1.20392	0.473255	-1.20392	1.82632	1.20392	1.82632
-1.19223	0.471369	-1.19223	1.82402	1.19223	1.82402
-1.18054	0.469531	-1.18054	1.82176	1.18054	1.82176
-1.16886	0.46774	-1.16886	1.81955	1.16886	1.81955
-1.15717	0.465996	-1.15717	1.81739	1.15717	1.81739
-1.14548	0.464297	-1.14548	1.81527	1.14548	1.81527
-1.13379	0.462643	-1.13379	1.8132	1.13379	1.8132
-1.1221	0.461032	-1.1221	1.81117	1.1221	1.81117
-1.11041	0.459464	-1.11041	1.80919	1.11041	1.80919
-1.09872	0.457937	-1.09872	1.80724	1.09872	1.80724
-1.08704	0.456451	-1.08704	1.80534	1.08704	1.80534
-1.07535	0.455006	-1.07535	1.80348	1.07535	1.80348
-1.06366	0.453599	-1.06366	1.80166	1.06366	1.80166
-1.05197	0.452231	-1.05197	1.79987	1.05197	1.79987
-1.04028	0.4509	-1.04028	1.79813	1.04028	1.79813
-1.02859	0.449606	-1.02859	1.79642	1.02859	1.79642
-1.0169	0.448348	-1.0169	1.79474	1.0169	1.79474
-1.00522	0.447125	-1.00522	1.79311	1.00522	1.79311
-0.993527	0.445935	-0.993527	1.7915	0.993527	1.7915
-0.981839	0.44478	-0.981839	1.78993	0.981839	1.78993
-0.97015	0.443656	-0.97015	1.78839	0.97015	1.78839
-0.958462	0.442565	-0.958462	1.78689	0.958462	1.78689
-0.946773	0.441504	-0.946773	1.78541	0.946773	1.78541
-0.935084	0.440474	-0.935084	1.78397	0.935084	1.78397
-0.923396	0.439473	-0.923396	1.78256	0.923396	1.78256
-0.911707	0.438501	-0.911707	1.78117	0.911707	1.78117
-0.900019	0.437557	-0.900019	1.77981	0.900019	1.77981
-0.88833	0.43664	-0.88833	1.77848	0.88833	1.77848
-0.876642	0.43575	-0.876642	1.77718	0.876642	1.77718
-0.864953	0.434886	-0.864953	1.77591	0.864953	1.77591
