% Model:              Sirius_Grill_Opening_Simulation_Original_Model2-2_20210518.mph
% Version:            COMSOL 5.5.0.306
% Date:               May 18 2021, 15:18
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Global
% x                       Height
499.99999999999994        73.44117773445986
629.9605249474363         73.11000025012645
793.7005259841            73.08102534604508
1000                      73.54547889985109
1259.9210498948728        72.17995445473991
1587.4010519682001        77.11513828722593
2000.0000000000002        77.77476913379871
2519.8420997897483        81.503180771009
3174.8021039364007        76.35692762623125
4000.000000000001         70.56355643129089
5039.6841995794975        65.8821386577737
6349.604207872802         62.358912266253625
8000.000000000004         52.35364072836239
10079.368399158997        55.11158523599788
12699.20841574562         55.67488511681822
16000.00000000001         57.280939197246695
