% Model:              Sirius_Grill_Opening_Simulation_Original_Model2-2_20210518.mph
% Version:            COMSOL 5.5.0.306
% Date:               May 18 2021, 15:20
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Global
% x                       Height
499.99999999999994        75.94200646758564
629.9605249474363         76.3673004225314
793.7005259841            77.0592909681657
1000                      77.79481556446706
1259.9210498948728        76.55970815778788
1587.4010519682001        82.88516459744343
2000.0000000000002        85.72383029867245
2519.8420997897483        91.34872919126414
3174.8021039364007        86.33638234627728
4000.000000000001         83.06928232619164
5039.6841995794975        78.63782231419314
6349.604207872802         76.39457463744877
8000.000000000004         65.48862344547338
10079.368399158997        65.15268810865177
12699.20841574562         73.78635974813909
16000.00000000001         65.5674397088736
