% Model:              Sirius_Grill_Opening_Simulation_Original_Model2-2_20210518.mph
% Version:            COMSOL 5.5.0.306
% Date:               May 18 2021, 15:20
% Dimension:          1
% Nodes:              16
% Expressions:        1
% Description:        Global
% x                       Height
499.99999999999994        75.34453424706588
629.9605249474363         75.65130107950792
793.7005259841            76.30197480388277
1000                      77.01856082105607
1259.9210498948728        75.46636466166649
1587.4010519682001        81.1529698242193
2000.0000000000002        84.02387512950442
2519.8420997897483        89.16810582505951
3174.8021039364007        84.21748767025076
4000.000000000001         80.51563989631589
5039.6841995794975        78.77411342638887
6349.604207872802         74.98706797990063
8000.000000000004         64.20931652409936
10079.368399158997        65.67908836695605
12699.20841574562         69.72855975468754
16000.00000000001         61.10799902745854
