"CEA2034"																	
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"		"Processing - NFS - CEA2034 Spinorama - Listening Window = MBL REFERENCE"		"Processing - 3.1 NFS - CEA2034 Spinorama - Sound Power"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
176.514	104.069	176.514	104.059	176.514	104.037	176.514	104.079	176.514	69.9597	176.514	70.0014	176.514	69.9794	176.514	83.8926	101.807	76.5074
189.697	103.821	189.697	103.807	189.697	103.766	189.697	103.802	189.697	69.9843	189.697	70.0198	189.697	69.9794	189.697	83.895	109.131	77.0819
202.881	103.619	202.881	103.604	202.881	103.564	202.881	103.604	202.881	69.9797	202.881	70.0193	202.881	69.9794	202.881	84.6304	116.455	77.7054
217.529	103.434	217.529	103.413	217.529	103.344	217.529	103.355	217.529	70.0379	217.529	70.0491	217.529	69.9794	217.529	84.9165	125.244	78.1294
232.91	103.282	232.91	103.255	232.91	103.159	232.91	103.155	232.91	70.0795	232.91	70.0761	232.91	69.9794	232.91	84.0071	134.033	78.3255
249.756	103.105	249.756	103.073	249.756	102.946	249.756	102.916	249.756	70.1371	249.756	70.1069	249.756	69.9794	249.756	85.4189	143.555	78.4986
268.066	103.028	268.066	102.984	268.066	102.811	268.066	102.74	268.066	70.2237	268.066	70.1532	268.066	69.9794	268.066	84.5383	153.809	78.5857
287.109	103.001	287.109	102.955	287.109	102.758	287.109	102.668	287.109	70.2672	287.109	70.1765	287.109	69.9794	287.109	82.8126	164.795	78.542
307.617	103.065	307.617	103.003	307.617	102.742	307.617	102.62	307.617	70.3625	307.617	70.24	307.617	69.9794	307.617	86.3092	176.514	78.5334
329.59	103.07	329.59	102.994	329.59	102.659	329.59	102.458	329.59	70.5159	329.59	70.3145	329.59	69.9794	329.59	85.0452	189.697	78.3625
353.76	102.898	353.76	102.818	353.76	102.448	353.76	102.181	353.76	70.6168	353.76	70.35	353.76	69.9794	353.76	84.254	202.881	78.2548
378.662	103.007	378.662	102.904	378.662	102.437	378.662	102.107	378.662	70.7759	378.662	70.4459	378.662	69.9794	378.662	85.3226	217.529	78.0846
405.762	102.931	405.762	102.821	405.762	102.343	405.762	102.039	405.762	70.7609	405.762	70.4571	405.762	69.9794	405.762	85.7269	232.91	77.9066
435.059	102.604	435.059	102.48	435.059	101.961	435.059	101.667	435.059	70.7922	435.059	70.4991	435.059	69.9794	435.059	85.4082	249.756	77.286
466.553	102.632	466.553	102.49	466.553	101.886	466.553	101.515	466.553	70.954	466.553	70.5828	466.553	69.9794	466.553	85.7053	268.066	76.8448
500.244	102.596	500.244	102.429	500.244	101.697	500.244	101.183	500.244	71.2261	500.244	70.7119	500.244	69.9794	500.244	86.3258	287.109	76.7555
536.133	102.602	536.133	102.429	536.133	101.681	536.133	101.165	536.133	71.2437	536.133	70.728	536.133	69.9794	536.133	86.4964	307.617	76.648
574.219	102.196	574.219	101.992	574.219	101.182	574.219	100.708	574.219	71.2636	574.219	70.7897	574.219	69.9794	574.219	87.2439	329.59	76.4626
615.234	102.276	615.234	102.036	615.234	101.075	615.234	100.502	615.234	71.5128	615.234	70.94	615.234	69.9794	615.234	86.6468	353.76	76.2094
659.912	102.328	659.912	102.087	659.912	101.038	659.912	100.281	659.912	71.7856	659.912	71.0286	659.912	69.9794	659.912	86.959	378.662	76.1344
706.787	102.217	706.787	101.939	706.787	100.79	706.787	99.927	706.787	71.9916	706.787	71.129	706.787	69.9794	706.787	87.2539	405.762	76.0566
758.057	101.854	758.057	101.538	758.057	100.269	758.057	99.4416	758.057	72.076	758.057	71.2482	758.057	69.9794	758.057	86.5946	435.059	75.7569
812.256	102.231	812.256	101.917	812.256	100.494	812.256	99.4086	812.256	72.4876	812.256	71.4018	812.256	69.9794	812.256	86.6888	466.553	75.7424
870.85	102.702	870.85	102.343	870.85	100.709	870.85	99.3173	870.85	73.005	870.85	71.6129	870.85	69.9794	870.85	86.5386	500.244	75.5844
933.105	102.017	933.105	101.639	933.105	100.111	933.105	98.8229	933.105	72.7958	933.105	71.5081	933.105	69.9794	933.105	86.3777	536.133	75.6799
999.756	102.191	999.756	101.785	999.756	100.223	999.756	98.6343	999.756	73.1301	999.756	71.5413	999.756	69.9794	999.756	86.0971	574.219	75.5602
1,071.53	101.843	1,071.53	101.466	1,071.53	100.344	1,071.53	99.3675	1,071.53	72.0778	1,071.53	71.101	1,071.53	69.9794	1,071.53	86.2574	615.234	75.5666
1,148.44	103.441	1,148.44	102.964	1,148.44	101.433	1,148.44	100.351	1,148.44	72.592	1,148.44	71.5105	1,148.44	69.9794	1,148.44	86.6363	659.912	75.5895
1,231.2	104.457	1,231.2	103.896	1,231.2	101.886	1,231.2	100.881	1,231.2	72.9946	1,231.2	71.9896	1,231.2	69.9794	1,231.2	86.2214	706.787	75.5204
1,319.82	104.737	1,319.82	104.088	1,319.82	101.974	1,319.82	101.408	1,319.82	72.6592	1,319.82	72.0932	1,319.82	69.9794	1,319.82	85.9441	758.057	75.3835
1,414.31	104.219	1,414.31	103.534	1,414.31	101.611	1,414.31	101.377	1,414.31	72.1371	1,414.31	71.9026	1,414.31	69.9794	1,414.31	86.4187	812.256	75.529
1,515.38	104.105	1,515.38	103.207	1,515.38	100.955	1,515.38	100.262	1,515.38	72.9242	1,515.38	72.2314	1,515.38	69.9794	1,515.38	86.2796	870.85	75.7161
1,624.51	104.043	1,624.51	103.181	1,624.51	100.708	1,624.51	99.6758	1,624.51	73.4847	1,624.51	72.4527	1,624.51	69.9794	1,624.51	86.6456	933.105	75.544
1,740.97	103.095	1,740.97	102.258	1,740.97	100.255	1,740.97	99.3233	1,740.97	72.9137	1,740.97	71.9821	1,740.97	69.9794	1,740.97	86.2944	999.756	75.5189
1,866.21	103.55	1,866.21	102.419	1,866.21	100.588	1,866.21	99.0921	1,866.21	73.306	1,866.21	71.8097	1,866.21	69.9794	1,866.21	86.0539	1,071.53	75.7649
2,000.24	102.76	2,000.24	101.677	2,000.24	100.076	2,000.24	98.745	2,000.24	72.9112	2,000.24	71.5807	2,000.24	69.9794	2,000.24	85.6366	1,148.44	75.925
2,143.8	103.26	2,143.8	101.99	2,143.8	100.267	2,143.8	99.215	2,143.8	72.7546	2,143.8	71.7022	2,143.8	69.9794	2,143.8	85.9677	1,231.2	75.8532
2,297.61	104.577	2,297.61	102.94	2,297.61	101.202	2,297.61	99.5693	2,297.61	73.3505	2,297.61	71.7175	2,297.61	69.9794	2,297.61	85.907	1,319.82	75.9869
2,462.4	105.592	2,462.4	103.909	2,462.4	101.91	2,462.4	99.7853	2,462.4	74.103	2,462.4	71.9787	2,462.4	69.9794	2,462.4	85.7714	1,414.31	75.8303
2,638.92	105.314	2,638.92	103.517	2,638.92	102.126	2,638.92	100.202	2,638.92	73.2939	2,638.92	71.37	2,638.92	69.9794	2,638.92	85.7707	1,515.38	75.6985
2,828.61	106.299	2,828.61	104.217	2,828.61	103.358	2,828.61	101.027	2,828.61	73.1695	2,828.61	70.8382	2,828.61	69.9794	2,828.61	85.8851	1,624.51	76.1796
3,031.49	107.069	3,031.49	104.886	3,031.49	104.294	3,031.49	101.738	3,031.49	73.1274	3,031.49	70.571	3,031.49	69.9794	3,031.49	85.8965	1,740.97	76.3092
3,249.02	107.273	3,249.02	105.355	3,249.02	104.949	3,249.02	102.187	3,249.02	73.1479	3,249.02	70.3857	3,249.02	69.9794	3,249.02	85.8036	1,866.21	76.6757
3,481.93	107.711	3,481.93	105.877	3,481.93	105.226	3,481.93	102.514	3,481.93	73.3423	3,481.93	70.6305	3,481.93	69.9794	3,481.93	85.5324	2,000.24	76.9958
3,732.42	108.207	3,732.42	106.561	3,732.42	105.516	3,732.42	102.772	3,732.42	73.7687	3,732.42	71.0246	3,732.42	69.9794	3,732.42	85.1898	2,143.8	77.4901
3,999.76	108.684	3,999.76	106.803	3,999.76	105.606	3,999.76	102.683	3,999.76	74.0994	3,999.76	71.1759	3,999.76	69.9794	3,999.76	84.979	2,297.61	76.9993
4,286.87	108.565	4,286.87	106.627	4,286.87	105.528	4,286.87	102.58	4,286.87	74.0266	4,286.87	71.0786	4,286.87	69.9794	4,286.87	84.6628	2,462.4	77.4012
4,594.48	108.102	4,594.48	106.344	4,594.48	105.268	4,594.48	102.515	4,594.48	73.809	4,594.48	71.0555	4,594.48	69.9794	4,594.48	85.7126	2,638.92	78.0604
4,924.8	108.09	4,924.8	106.324	4,924.8	105.009	4,924.8	102.399	4,924.8	73.905	4,924.8	71.2952	4,924.8	69.9794	4,924.8	86.6148	2,828.61	78.4317
5,277.83	108.055	5,277.83	106.697	5,277.83	104.896	5,277.83	102.328	5,277.83	74.3482	5,277.83	71.7802	5,277.83	69.9794	5,277.83	86.7335	3,031.49	78.9742
5,656.49	109.482	5,656.49	107.421	5,656.49	105.03	5,656.49	102.066	5,656.49	75.3341	5,656.49	72.3703	5,656.49	69.9794	5,656.49	85.4734	3,249.02	79.5918
6,062.99	110.682	6,062.99	108.255	6,062.99	105.154	6,062.99	101.785	6,062.99	76.4489	6,062.99	73.0807	6,062.99	69.9794	6,062.99	84.967	3,481.93	79.5225
6,498.05	111.125	6,498.05	108.778	6,498.05	105.195	6,498.05	101.564	6,498.05	77.1926	6,498.05	73.5621	6,498.05	69.9794	6,498.05	85.4669	3,732.42	79.3706
6,964.6	110.772	6,964.6	108.652	6,964.6	105.337	6,964.6	101.69	6,964.6	76.9416	6,964.6	73.2947	6,964.6	69.9794	6,964.6	85.8982	3,999.76	78.741
7,464.11	109.764	7,464.11	107.782	7,464.11	104.776	7,464.11	101.23	7,464.11	76.5323	7,464.11	72.9862	7,464.11	69.9794	7,464.11	85.018	4,286.87	78.7085
8,000.24	110.661	8,000.24	108.419	8,000.24	104.996	8,000.24	101.22	8,000.24	77.1784	8,000.24	73.4024	8,000.24	69.9794	8,000.24	83.8436	4,594.48	77.9121
8,574.46	110.18	8,574.46	107.84	8,574.46	104.101	8,574.46	99.8009	8,574.46	78.0189	8,574.46	73.7189	8,574.46	69.9794	8,574.46	85.6639	4,924.8	76.5335
9,189.7	105.791	9,189.7	103.372	9,189.7	99.5144	9,189.7	95.0824	9,189.7	78.2689	9,189.7	73.8369	9,189.7	69.9794	9,189.7	86.236	5,277.83	75.9663
9,848.88	103.307	9,848.88	100.903	9,848.88	96.4217	9,848.88	91.7206	9,848.88	79.1621	9,848.88	74.461	9,848.88	69.9794	9,848.88	84.8759	5,656.49	75.442
10,556.4	107.364	10,556.4	104.635	10,556.4	99.2427	10,556.4	94.3234	10,556.4	80.2911	10,556.4	75.3718	10,556.4	69.9794	10,556.4	85.9229	6,062.99	75.4276
11,313.7	110.794	11,313.7	107.63	11,313.7	102.202	11,313.7	96.8095	11,313.7	80.8001	11,313.7	75.4077	11,313.7	69.9794	11,313.7	86.8722	6,498.05	74.6116
12,126	110.16	12,126	106.973	12,126	101.655	12,126	96.5604	12,126	80.3923	12,126	75.2977	12,126	69.9794	12,126	86.223	6,964.6	74.2965
12,996.1	106.544	12,996.1	103.555	12,996.1	98.6967	12,996.1	93.9422	12,996.1	79.5918	12,996.1	74.8372	12,996.1	69.9794	12,996.1	86.6797	7,464.11	73.5202
13,928.5	103.461	13,928.5	99.7578	13,928.5	95.7531	13,928.5	91.0566	13,928.5	78.6806	13,928.5	73.9842	13,928.5	69.9794	13,928.5	86.1949	8,000.24	73.4159
14,928.2	100.58	14,928.2	97.6901	14,928.2	93.8518	14,928.2	89.735	14,928.2	77.9345	14,928.2	73.8177	14,928.2	69.9794	14,928.2	85.8898	8,574.46	73.2655
15,999.8	97.9046	15,999.8	94.6839	15,999.8	92.3295	15,999.8	88.6068	15,999.8	76.0565	15,999.8	72.3337	15,999.8	69.9794	15,999.8	86.0479	9,189.7	70.7977
17,148.2	85.7065	17,148.2	87.606	17,148.2	89.1345	17,148.2	86.6207	17,148.2	70.9647	17,148.2	68.4509	17,148.2	69.9794	17,148.2	85.5355	9,848.88	67.7547
18,379.4	95.2316	18,379.4	93.255	18,379.4	89.6455	18,379.4	85.2041	18,379.4	78.0303	18,379.4	73.5889	18,379.4	69.9794	18,379.4	86.0721	10,556.4	69.9258
19,698.5	92.8366	19,698.5	91.0083	19,698.5	87.3197	19,698.5	82.8396	19,698.5	78.1481	19,698.5	73.6681	19,698.5	69.9794	19,698.5	85.2084	11,313.7	69.995
19,999.5	92.2841	19,999.5	90.3129	19,999.5	86.6723	19,999.5	82.108	19,999.5	78.1843	19,999.5	73.62	19,999.5	69.9794	19,999.5	85.6132	12,126	66.9428
																12,996.1	66.3185
																13,928.5	65.3836
																14,928.2	64.7341
																15,999.8	64.871
																17,148.2	65.1643
																18,379.4	65.4397
																19,698.5	64.7946
																19,999.5	64.9742
